name,title,category,origin,originName,apiVersion,isDynamic,blockJson,hasRenderPhp,hasIndexPhp,hasViewJs,sourceRoot
core/accordion,Accordion,design,core,,3,False,wp-includes/blocks/accordion/block.json,False,False,False,core
core/accordion-heading,Accordion Heading,design,core,,3,False,wp-includes/blocks/accordion-heading/block.json,False,False,False,core
core/accordion-item,Accordion Item,design,core,,3,False,wp-includes/blocks/accordion-item/block.json,False,False,False,core
core/accordion-panel,Accordion Panel,design,core,,3,False,wp-includes/blocks/accordion-panel/block.json,False,False,False,core
core/archives,Archives,widgets,core,,3,False,wp-includes/blocks/archives/block.json,False,False,False,core
core/audio,Audio,media,core,,3,False,wp-includes/blocks/audio/block.json,False,False,False,core
core/avatar,Avatar,theme,core,,3,False,wp-includes/blocks/avatar/block.json,False,False,False,core
core/block,Pattern,reusable,core,,3,False,wp-includes/blocks/block/block.json,False,False,False,core
core/button,Button,design,core,,3,False,wp-includes/blocks/button/block.json,False,False,False,core
core/buttons,Buttons,design,core,,3,False,wp-includes/blocks/buttons/block.json,False,False,False,core
core/calendar,Calendar,widgets,core,,3,False,wp-includes/blocks/calendar/block.json,False,False,False,core
core/categories,Terms List,widgets,core,,3,False,wp-includes/blocks/categories/block.json,False,False,False,core
core/code,Code,text,core,,3,False,wp-includes/blocks/code/block.json,False,False,False,core
core/column,Column,design,core,,3,False,wp-includes/blocks/column/block.json,False,False,False,core
core/columns,Columns,design,core,,3,False,wp-includes/blocks/columns/block.json,False,False,False,core
core/comment-author-name,Comment Author Name,theme,core,,3,False,wp-includes/blocks/comment-author-name/block.json,False,False,False,core
core/comment-content,Comment Content,theme,core,,3,False,wp-includes/blocks/comment-content/block.json,False,False,False,core
core/comment-date,Comment Date,theme,core,,3,False,wp-includes/blocks/comment-date/block.json,False,False,False,core
core/comment-edit-link,Comment Edit Link,theme,core,,3,False,wp-includes/blocks/comment-edit-link/block.json,False,False,False,core
core/comment-reply-link,Comment Reply Link,theme,core,,3,False,wp-includes/blocks/comment-reply-link/block.json,False,False,False,core
core/comment-template,Comment Template,design,core,,3,False,wp-includes/blocks/comment-template/block.json,False,False,False,core
core/comments,Comments,theme,core,,3,False,wp-includes/blocks/comments/block.json,False,False,False,core
core/comments-pagination,Comments Pagination,theme,core,,3,False,wp-includes/blocks/comments-pagination/block.json,False,False,False,core
core/comments-pagination-next,Comments Next Page,theme,core,,3,False,wp-includes/blocks/comments-pagination-next/block.json,False,False,False,core
core/comments-pagination-numbers,Comments Page Numbers,theme,core,,3,False,wp-includes/blocks/comments-pagination-numbers/block.json,False,False,False,core
core/comments-pagination-previous,Comments Previous Page,theme,core,,3,False,wp-includes/blocks/comments-pagination-previous/block.json,False,False,False,core
core/comments-title,Comments Title,theme,core,,3,False,wp-includes/blocks/comments-title/block.json,False,False,False,core
core/cover,Cover,media,core,,3,False,wp-includes/blocks/cover/block.json,False,False,False,core
core/details,Details,text,core,,3,False,wp-includes/blocks/details/block.json,False,False,False,core
core/embed,Embed,embed,core,,3,False,wp-includes/blocks/embed/block.json,False,False,False,core
core/file,File,media,core,,3,False,wp-includes/blocks/file/block.json,False,False,True,core
core/footnotes,Footnotes,text,core,,3,False,wp-includes/blocks/footnotes/block.json,False,False,False,core
core/freeform,Classic,text,core,,3,False,wp-includes/blocks/freeform/block.json,False,False,False,core
core/gallery,Gallery,media,core,,3,False,wp-includes/blocks/gallery/block.json,False,False,False,core
core/group,Group,design,core,,3,False,wp-includes/blocks/group/block.json,False,False,False,core
core/heading,Heading,text,core,,3,False,wp-includes/blocks/heading/block.json,False,False,False,core
core/home-link,Home Link,design,core,,3,False,wp-includes/blocks/home-link/block.json,False,False,False,core
core/html,Custom HTML,widgets,core,,3,False,wp-includes/blocks/html/block.json,False,False,False,core
core/image,Image,media,core,,3,False,wp-includes/blocks/image/block.json,False,False,True,core
core/latest-comments,Latest Comments,widgets,core,,3,False,wp-includes/blocks/latest-comments/block.json,False,False,False,core
core/latest-posts,Latest Posts,widgets,core,,3,False,wp-includes/blocks/latest-posts/block.json,False,False,False,core
core/legacy-widget,Legacy Widget,widgets,core,,3,False,wp-includes/blocks/legacy-widget/block.json,False,False,False,core
core/list,List,text,core,,3,False,wp-includes/blocks/list/block.json,False,False,False,core
core/list-item,List Item,text,core,,3,False,wp-includes/blocks/list-item/block.json,False,False,False,core
core/loginout,Login/out,theme,core,,3,False,wp-includes/blocks/loginout/block.json,False,False,False,core
core/math,Math,text,core,,3,False,wp-includes/blocks/math/block.json,False,False,False,core
core/media-text,Media & Text,media,core,,3,False,wp-includes/blocks/media-text/block.json,False,False,False,core
core/missing,Unsupported,text,core,,3,False,wp-includes/blocks/missing/block.json,False,False,False,core
