name,title,category,origin,originName,apiVersion,isDynamic,blockJson,hasRenderPhp,hasIndexPhp,hasViewJs,sourceRoot
woocommerce/accordion-group,Accordion Group,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/accordion-group/block.json,False,False,False,woocommerce
woocommerce/accordion-header,Accordion Header,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/accordion-header/block.json,False,False,False,woocommerce
woocommerce/accordion-item,Accordion,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/accordion-item/block.json,False,False,False,woocommerce
woocommerce/accordion-panel,Accordion Panel,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/accordion-panel/block.json,False,False,False,woocommerce
woocommerce/active-filters,Active Filters Controls,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/active-filters/block.json,False,False,False,woocommerce
woocommerce/add-to-cart-form,Add to Cart with Options,woocommerce-product-elements,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/add-to-cart-form/block.json,False,False,False,woocommerce
woocommerce/add-to-cart-with-options,Add to Cart + Options (Beta),woocommerce-product-elements,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/add-to-cart-with-options/block.json,False,False,False,woocommerce
woocommerce/add-to-cart-with-options-grouped-product-item,Grouped Product: Template (Beta),woocommerce-product-elements,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/add-to-cart-with-options-grouped-product-item/block.json,False,False,False,woocommerce
woocommerce/add-to-cart-with-options-grouped-product-item-label,Grouped Product: Item Label (Beta),woocommerce-product-elements,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/add-to-cart-with-options-grouped-product-item-label/block.json,False,False,False,woocommerce
woocommerce/add-to-cart-with-options-grouped-product-item-selector,Grouped Product: Item Selector (Beta),woocommerce-product-elements,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/add-to-cart-with-options-grouped-product-item-selector/block.json,False,False,False,woocommerce
woocommerce/add-to-cart-with-options-grouped-product-selector,Grouped Product Selector (Beta),woocommerce-product-elements,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/add-to-cart-with-options-grouped-product-selector/block.json,False,False,False,woocommerce
woocommerce/add-to-cart-with-options-quantity-selector,Product Quantity (Beta),woocommerce-product-elements,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/add-to-cart-with-options-quantity-selector/block.json,False,False,False,woocommerce
woocommerce/add-to-cart-with-options-variation-description,Variation Description (Beta),woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/add-to-cart-with-options-variation-description/block.json,False,False,False,woocommerce
woocommerce/add-to-cart-with-options-variation-selector,Variation Selector (Beta),woocommerce-product-elements,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/add-to-cart-with-options-variation-selector/block.json,False,False,False,woocommerce
woocommerce/add-to-cart-with-options-variation-selector-attribute,Variation Selector: Template (Beta),woocommerce-product-elements,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/add-to-cart-with-options-variation-selector-attribute/block.json,False,False,False,woocommerce
woocommerce/add-to-cart-with-options-variation-selector-attribute-name,Variation Selector: Attribute Name (Beta),woocommerce-product-elements,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/add-to-cart-with-options-variation-selector-attribute-name/block.json,False,False,False,woocommerce
woocommerce/add-to-cart-with-options-variation-selector-attribute-options,Variation Selector: Attribute Options (Beta),woocommerce-product-elements,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/add-to-cart-with-options-variation-selector-attribute-options/block.json,False,False,False,woocommerce
woocommerce/all-products,All Products,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/all-products/block.json,False,False,False,woocommerce
woocommerce/all-reviews,All Reviews,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/all-reviews/block.json,False,False,False,woocommerce
woocommerce/attribute-filter,Filter by Attribute Controls,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/attribute-filter/block.json,False,False,False,woocommerce
woocommerce/breadcrumbs,Store Breadcrumbs,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/breadcrumbs/block.json,False,False,False,woocommerce
woocommerce/cart-accepted-payment-methods-block,Accepted Payment Methods,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/cart-accepted-payment-methods-block/block.json,False,False,False,woocommerce
woocommerce/cart-cross-sells-block,Cart Cross-Sells,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/cart-cross-sells-block/block.json,False,False,False,woocommerce
woocommerce/cart-cross-sells-products-block,Cart Cross-Sells Products,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/cart-cross-sells-products-block/block.json,False,False,False,woocommerce
woocommerce/cart-express-payment-block,Express Checkout,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/cart-express-payment-block/block.json,False,False,False,woocommerce
woocommerce/cart-items-block,Cart Items,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/cart-items-block/block.json,False,False,False,woocommerce
woocommerce/cart-line-items-block,Cart Line Items,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/cart-line-items-block/block.json,False,False,False,woocommerce
woocommerce/cart-link,Cart Link,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/cart-link/block.json,False,False,False,woocommerce
woocommerce/cart-order-summary-block,Order Summary,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/cart-order-summary-block/block.json,False,False,False,woocommerce
woocommerce/cart-order-summary-coupon-form-block,Coupon Form,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/cart-order-summary-coupon-form-block/block.json,False,False,False,woocommerce
woocommerce/cart-order-summary-discount-block,Discount,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/cart-order-summary-discount-block/block.json,False,False,False,woocommerce
woocommerce/cart-order-summary-fee-block,Fees,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/cart-order-summary-fee-block/block.json,False,False,False,woocommerce
woocommerce/cart-order-summary-heading-block,Heading,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/cart-order-summary-heading-block/block.json,False,False,False,woocommerce
woocommerce/cart-order-summary-shipping-block,Shipping,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/cart-order-summary-shipping-block/block.json,False,False,False,woocommerce
woocommerce/cart-order-summary-subtotal-block,Subtotal,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/cart-order-summary-subtotal-block/block.json,False,False,False,woocommerce
woocommerce/cart-order-summary-taxes-block,Taxes,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/cart-order-summary-taxes-block/block.json,False,False,False,woocommerce
woocommerce/cart-order-summary-totals-block,Totals,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/cart-order-summary-totals-block/block.json,False,False,False,woocommerce
woocommerce/cart-totals-block,Cart Totals,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/cart-totals-block/block.json,False,False,False,woocommerce
woocommerce/catalog-sorting,Catalog Sorting,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/catalog-sorting/block.json,False,False,False,woocommerce
woocommerce/category-description,Product Category Description,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/category-description/block.json,False,False,False,woocommerce
woocommerce/category-title,Product Category Title,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/category-title/block.json,False,False,False,woocommerce
woocommerce/checkout,Checkout,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/checkout/block.json,False,False,False,woocommerce
woocommerce/checkout-actions-block,Actions,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/checkout-actions-block/block.json,False,False,False,woocommerce
woocommerce/checkout-additional-information-block,Additional information,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/checkout-additional-information-block/block.json,False,False,False,woocommerce
woocommerce/checkout-billing-address-block,Billing Address,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/checkout-billing-address-block/block.json,False,False,False,woocommerce
woocommerce/checkout-contact-information-block,Contact Information,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/checkout-contact-information-block/block.json,False,False,False,woocommerce
woocommerce/checkout-express-payment-block,Express Checkout,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/checkout-express-payment-block/block.json,False,False,False,woocommerce
woocommerce/checkout-fields-block,Checkout Fields,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/checkout-fields-block/block.json,False,False,False,woocommerce
woocommerce/checkout-order-note-block,Order Note,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/checkout-order-note-block/block.json,False,False,False,woocommerce
